0.77953,0.88126,0.92287,0.94264,0.95434,0.96543,0.97061,0.97576,0.97916,0.9818,0.98446,0.98589,0.98743,0.98846,0.98915,0.98997
0.76676,0.8526,0.90427,0.92303,0.9357,0.94655,0.95438,0.96012,0.96532,0.96842,0.97158,0.97289,0.97469,0.97576,0.9763,0.97697
0.85721,0.92773,0.95401,0.9673,0.9743,0.9796,0.98238,0.98512,0.98679,0.988,0.98933,0.99007,0.99071,0.99083,0.99074,0.99065
0.82159,0.90465,0.93581,0.95071,0.96067,0.96906,0.97318,0.97705,0.97988,0.98174,0.98378,0.98476,0.98607,0.98678,0.98714,0.98757
0.80149,0.89535,0.93287,0.95254,0.96447,0.97369,0.97871,0.9828,0.98564,0.98772,0.98955,0.99073,0.9918,0.99259,0.99317,0.99373
0.77036,0.87336,0.91668,0.94123,0.95354,0.96503,0.97078,0.97584,0.97899,0.98121,0.98376,0.98504,0.98619,0.98676,0.98681,0.98701
0.85777,0.93657,0.96343,0.97449,0.98092,0.9855,0.98781,0.98962,0.99093,0.99187,0.99278,0.99332,0.99382,0.99404,0.99408,0.99407
0.82725,0.90548,0.93764,0.95386,0.96343,0.97194,0.97662,0.98077,0.98345,0.98543,0.98755,0.98877,0.99,0.99084,0.99137,0.99202
0.86818,0.93677,0.9606,0.97094,0.97692,0.98098,0.98305,0.98528,0.98655,0.98705,0.98809,0.98872,0.98925,0.98909,0.98851,0.98808
0.84513,0.92666,0.95525,0.96805,0.97572,0.98076,0.98355,0.98611,0.98777,0.98876,0.98985,0.99042,0.99088,0.99089,0.99049,0.99002
0.81073,0.89549,0.93071,0.94931,0.95984,0.96903,0.97377,0.97818,0.98101,0.98282,0.98504,0.98616,0.98727,0.98785,0.98788,0.98803
0.82623,0.90281,0.93672,0.95283,0.96245,0.97061,0.97462,0.97862,0.98108,0.98244,0.98419,0.98508,0.98565,0.98541,0.98451,0.98376
0.75881,0.86316,0.90396,0.92677,0.94119,0.95429,0.96093,0.96768,0.97198,0.97533,0.97856,0.98037,0.98234,0.98374,0.98469,0.98581
0.79391,0.89145,0.92815,0.94773,0.95953,0.96904,0.97424,0.97884,0.98206,0.98416,0.98636,0.98765,0.98889,0.98977,0.99022,0.99079
0.80814,0.89707,0.9356,0.95217,0.96147,0.96915,0.97371,0.97735,0.97998,0.98134,0.98313,0.98391,0.98467,0.98505,0.98496,0.98524
0.81753,0.90508,0.93695,0.95437,0.96346,0.97207,0.9763,0.98007,0.98252,0.98414,0.98637,0.98741,0.98847,0.98898,0.98894,0.98919
0.84626,0.93545,0.96153,0.97204,0.97864,0.98342,0.98591,0.98817,0.98975,0.99087,0.99195,0.99253,0.99316,0.9936,0.99386,0.99413
0.78147,0.88582,0.92473,0.94381,0.95609,0.96534,0.97064,0.97505,0.97833,0.98064,0.98299,0.98436,0.98569,0.98661,0.98722,0.98794
0.82073,0.90741,0.9406,0.95609,0.9647,0.97237,0.97626,0.98019,0.98278,0.98453,0.98652,0.9875,0.98843,0.98884,0.98881,0.98889
0.87995,0.93116,0.95663,0.96881,0.97564,0.98122,0.9841,0.98632,0.98774,0.98872,0.98992,0.99045,0.99104,0.99143,0.9916,0.99187
0.84568,0.91412,0.94377,0.9588,0.96799,0.97454,0.97805,0.9815,0.98369,0.98507,0.9866,0.98732,0.988,0.98812,0.98787,0.98749
0.79414,0.8847,0.92105,0.93997,0.9523,0.96183,0.9676,0.97229,0.97571,0.97817,0.98053,0.98185,0.98302,0.98376,0.98411,0.98433
0.8555,0.92858,0.9573,0.97014,0.97733,0.98199,0.98449,0.98638,0.98772,0.98873,0.98971,0.99024,0.99067,0.99078,0.99077,0.9906
0.82399,0.90596,0.93829,0.95455,0.96506,0.97284,0.97715,0.98103,0.98377,0.98555,0.98741,0.98836,0.98934,0.99006,0.99041,0.99085
