0.025,21.16,0.025,497.8291936
0.045,22.13,0.045,398.1808422
0.083,23.39,0.083,297.9067618
0.136,24.57,0.136,227.0284901
0.228,25.78,0.228,171.8226294
0.388,27.38,0.388,118.8722166
0.606,29.16,0.606,78.90061
0.971,31.39,0.971,47.21503988
0.011,27.31,0.011,120.8037347
0.015,28.7,0.015,87.71631144
0.027,29.68,0.027,69.99715052
0.045,30.51,0.045,57.82030269
0.076,31.49,0.076,46.14029436
0.139,32.57,0.139,35.98159085
0.233,34.16,0.233,24.95056364
0.397,35.87,0.397,16.82985448
0.017,27.22,0.017,123.3333025
0.024,28.88,0.024,84.15508459
0.038,29.86,0.038,67.15531041
0.059,30.82,0.059,53.8369392
0.095,32.12,0.095,39.90987439
0.156,33.49,0.156,29.1125576
0.24,35.42,0.24,18.66725073
0.371,37.45,0.371,11.69715813
0.017,26.82,0.017,135.2322771
0.025,28.19,0.025,98.64620014
0.038,29.03,0.038,81.29809344
0.061,29.93,0.061,66.08157125
0.1,31.15,0.1,49.89768085
0.171,32.38,0.171,37.59069548
0.269,33.97,0.269,26.06635831
0.433,35.68,0.433,17.58248926
0.035,20.21,0.035,619.5557057
0.062,21.39,0.062,472.1503988
0.105,22.59,0.105,358.1627046
0.174,24.07,0.174,254.7301556
0.273,25.6,0.273,179.0937214
0.433,27.65,0.433,111.7069929
0.631,29.84,0.631,67.46528524
0.943,32.54,0.943,36.23100332
0.017,22.84,0.017,338.1273967
0.029,23.48,0.029,291.7966898
0.057,24.38,0.057,237.181254
0.1,25.49,0.1,183.6878204
0.164,26.64,0.164,140.9549594
0.286,28.44,0.286,93.12801815
0.477,30.38,0.477,59.57723737
0.711,32.9,0.711,33.34881149
0.025,24.66,0.025,222.3721325
0.041,26.31,0.041,152.0828914
0.066,27.92,0.066,104.9736652
0.1,29.43,0.1,74.14474244
0.151,31.15,0.151,49.89768085
0.225,32.85,0.225,33.73497253
0.322,35.05,0.322,20.32733108
0.468,37.29,0.468,12.13613394
0.041,18.72,0.041,873.132916
0.074,20.09,0.074,636.913363
0.117,21.24,0.117,488.7427868
0.188,22.8,0.188,341.256051
0.292,24.44,0.292,233.9270052
0.461,26.47,0.461,146.5819048
0.683,28.52,0.683,91.42824026
1.035,31.25,1.035,48.76187096
0.019,25.49,0.019,183.6878204
0.029,27.1,0.029,126.7886451
0.047,28.34,0.047,95.29724836
0.07,29.7,0.07,69.67554282
0.109,31.25,0.109,48.76187096
0.168,32.84,0.168,33.81273967
0.247,34.72,0.247,21.93210725
0.366,36.72,0.366,13.83822415
0.018,25.5,0.018,183.2653501
0.029,26.71,0.029,138.7012455
0.049,27.78,0.049,108.41275
0.077,29.09,0.077,80.18264178
0.121,30.74,0.121,54.83784262
0.188,32.41,0.188,37.33192296
0.279,34.39,0.279,23.66357522
0.417,36.37,0.417,14.99962359
0.018,23.77,0.018,272.9482793
0.031,24.71,0.031,219.8266597
0.054,25.73,0.054,173.8122417
0.092,26.81,0.092,135.5440197
0.15,28.02,0.15,102.5841728
0.256,29.51,0.256,72.79144837
0.404,31.42,0.404,46.89001383
0.648,33.65,0.648,28.05952797
0.015,27.15,0.015,125.3373075
0.021,28.37,0.021,94.64122671
0.035,29.42,0.035,74.31566372
0.055,30.28,0.055,60.9649695
0.088,31.49,0.088,46.14029436
0.154,32.76,0.154,34.44136544
0.243,34.53,0.243,22.91291589
0.387,36.39,0.387,14.93070658
0.027,19.2,0.027,781.7724486
0.052,20.02,0.052,647.2623726
0.095,20.8,0.095,540.8543922
0.169,21.84,0.169,425.6771722
0.282,22.91,0.282,332.7211136
0.499,24.64,0.499,223.3985556
0.781,26.54,0.781,144.2382222
1.243,29.19,1.243,78.35746202
0.025,22.52,0.025,363.9823804
0.042,23.67,0.042,279.3060615
0.073,24.83,0.073,213.835773
0.12,25.98,0.12,164.0893372
0.193,27.27,0.193,121.9215179
0.325,28.9,0.325,83.7684271
0.498,30.77,0.498,54.46034157
0.781,33.03,0.781,32.36535395
0.021,26.81,0.021,135.5440197
0.028,28.09,0.028,100.9439653
0.042,28.94,0.042,83.00043354
0.065,29.84,0.065,67.46528524
0.106,31,0.106,51.65119346
0.179,32.27,0.179,38.55496923
0.28,33.91,0.28,26.42897748
0.449,35.79,0.449,17.14274484
0.012,25.89,0.012,167.5252832
0.02,26.62,0.02,141.6055779
0.036,27.38,0.036,118.8722166
0.061,28.13,0.061,100.0185055
0.107,29.25,0.107,77.28235734
