image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
18,0.075,0.028,23.39,0.7529,297.9067618
18,0.099,0.037,24.69,0.7905,220.8413335
18,0.175,0.065,27.04,0.8952,128.5524508
18,0.254,0.095,28.35,0.9339,95.0780708
18,0.326,0.121,29.33,0.9535,75.8717953
18,0.564,0.210,31.64,0.9790,44.5738719
18,0.755,0.281,33.02,0.9867,32.4399638
19,0.056,0.021,25.32,0.8779,191.0206686
19,0.073,0.027,26.71,0.9055,138.7012455
19,0.125,0.047,29.17,0.9501,78.7191436
19,0.176,0.066,30.44,0.9657,58.7598070
19,0.224,0.083,31.28,0.9754,48.4261966
19,0.376,0.140,33.44,0.9877,29.4496651
19,0.497,0.185,34.77,0.9915,21.6810525
20,0.065,0.024,22.70,0.8144,349.2049256
20,0.098,0.036,24.01,0.8583,258.2738050
20,0.195,0.073,26.44,0.9293,147.5979620
20,0.279,0.104,27.70,0.9521,110.4282935
20,0.355,0.132,28.64,0.9658,88.9365669
20,0.589,0.219,30.77,0.9835,54.4603416
20,0.769,0.286,32.08,0.9889,40.2791559
21,0.053,0.020,23.92,0.7092,263.6819252
21,0.073,0.027,25.19,0.7791,196.8250457
21,0.147,0.055,27.49,0.8903,115.8991794
21,0.229,0.085,28.76,0.9300,86.5127985
21,0.305,0.114,29.66,0.9504,70.3202427
21,0.554,0.206,31.78,0.9777,43.1598932
21,0.751,0.279,33.04,0.9856,32.2909157
22,0.053,0.020,25.69,0.7909,175.4205066
22,0.067,0.025,27.30,0.8229,121.0822161
22,0.110,0.041,30.85,0.9162,53.4663283
22,0.154,0.057,32.57,0.9467,35.9815909
22,0.195,0.073,33.74,0.9631,27.4840266
22,0.322,0.120,36.28,0.9841,15.3137080
22,0.430,0.160,37.67,0.9901,11.1193746
23,0.075,0.028,21.93,0.7593,416.9465272
23,0.112,0.042,23.12,0.8250,317.0154007
23,0.228,0.085,25.25,0.9161,194.1245048
23,0.333,0.124,26.48,0.9475,146.2447757
23,0.428,0.159,27.36,0.9624,119.4209058
23,0.728,0.271,29.72,0.9830,69.3554128
23,0.964,0.359,31.28,0.9892,48.4261966
