image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
15,0.308,0.11,32.57,0.9710,35.9815909
15,0.503,0.19,34.85,0.9834,21.2853287
16,0.021,0.01,25.14,0.8249,199.1041723
16,0.032,0.01,26.21,0.8663,155.6253571
16,0.054,0.02,27.43,0.9049,117.5114975
16,0.086,0.03,28.59,0.9258,89.9664038
16,0.132,0.05,30.00,0.9511,65.0250000
16,0.211,0.08,31.53,0.9674,45.7172776
16,0.315,0.12,33.53,0.9809,28.8456521
16,0.479,0.18,35.59,0.9879,17.9506575
17,0.022,0.01,22.34,0.7260,379.3851791
17,0.039,0.01,23.23,0.7881,309.0867307
17,0.071,0.03,24.25,0.8510,244.3882721
17,0.123,0.05,25.31,0.8908,191.4610167
17,0.206,0.08,26.55,0.9305,143.9064835
17,0.348,0.13,28.19,0.9578,98.6462001
17,0.531,0.20,30.12,0.9758,63.2528882
17,0.822,0.31,32.32,0.9853,38.1136341
18,0.020,0.01,22.70,0.7848,349.2049256
18,0.034,0.01,24.10,0.8283,252.9766055
18,0.057,0.02,25.36,0.8697,189.2693806
18,0.091,0.03,26.81,0.8952,135.5440197
18,0.143,0.05,28.31,0.9292,95.9578173
18,0.240,0.09,29.71,0.9540,69.5152935
18,0.369,0.14,31.67,0.9731,44.2670275
18,0.582,0.22,33.82,0.9841,26.9823866
19,0.016,0.01,25.75,0.9013,173.0136470
19,0.025,0.01,26.86,0.9243,133.9924601
19,0.042,0.02,27.85,0.9370,106.6793500
19,0.066,0.02,29.45,0.9534,73.8040783
19,0.102,0.04,30.52,0.9660,57.6873197
19,0.168,0.06,32.19,0.9758,39.2717596
19,0.257,0.10,34.13,0.9859,25.1235127
19,0.404,0.15,36.27,0.9915,15.3490097
20,0.021,0.01,22.79,0.8260,342.0427275
20,0.035,0.01,23.77,0.8701,272.9482793
20,0.060,0.02,24.82,0.9055,214.3287153
20,0.101,0.04,26.09,0.9330,159.9854035
20,0.164,0.06,27.48,0.9556,116.1663546
20,0.267,0.10,29.23,0.9717,77.6390765
20,0.408,0.15,31.12,0.9827,50.2435550
20,0.634,0.24,33.56,0.9887,28.6470800
21,0.017,0.01,24.59,0.7480,225.9853890
21,0.028,0.01,25.54,0.7970,181.5851633
21,0.048,0.02,26.40,0.8431,148.9636691
21,0.084,0.03,27.51,0.8761,115.3666710
21,0.138,0.05,28.66,0.9167,88.5279405
21,0.242,0.09,30.09,0.9464,63.6913363
21,0.383,0.14,31.84,0.9697,42.5677172
21,0.617,0.23,34.02,0.9828,25.7679792
22,0.018,0.01,26.95,0.8787,131.2442728
